Company,ROC ,Incorporation_year,Industry_group_code,Industry_type,NIC_name,Main_product,NIC_code,decile,ISIN 
Eastern Silk Inds. Ltd.,21-13554,1946,1.01012E+14,1,Finishing of silk and blended silk textiles.,Silk textiles,13132,Decile 3,INE962C01027
Eastern Treads Ltd.,Sep-13,1993,1.01015E+14,1,Manufacture of other rubber products n.e.c.,Tyre treads,22199,Decile 5,INE500D01015
Easun Reyrolle Ltd.,18-6695,1974,1.01014E+14,1,Manufacture of other electronic components n.e.c,Electronic relays,26109,Decile 2,INE268C01029
Eclerx Services Ltd.,11-125319,2000,1.01041E+14,1,Other information service activities n.e.c.,Information technology enabled service/BPO,63999,Decile 1,INE738I01010
Eco Friendly Food Processing Park Ltd.,55-181131,2008,1.01011E+14,1,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c.",Agricultural products,1199,Decile 7,INE178O01025
Eco Recycling Ltd.,11-79971,1994,1.0104E+14,1,Wholesale of computers and computer peripheral equipment,Wholesale trade in computer systems and peripherals,46511,Decile 6,INE316A01038
Ecoboard Industries Ltd.,11-64087,1991,1.01013E+14,1,Manufacture of particle board and fibreboard including densified wood,Particle boards,16212,Decile 6,INE866A01016
Ecoplast Ltd.,Apr-75,1981,1.01012E+14,1,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)","Other sheets, films & foils of plastics",22201,Decile 5,INE423D01010
Edserv Softsystems Ltd.,18-46789,2001,1.01042E+14,1,Education,Education,85,Decile 3,INE889J01019
Educomp Solutions Ltd.,55-61353,1994,1.01042E+14,1,Education,Education,85,Decile 1,INE216H01027
Eduexel Infotainment Ltd.,18-19605,1990,1.01042E+14,1,Production of motion picture,"Motion picture production, distribution & exhibition",59111,Decile 7,INE611F01015
Edynamics Solutions Ltd.,55-106755,2000,1.0104E+14,1,"Activities of commission agents dealing in wholesale trade inwood, paper, skin, leather and fur, fuel, petroleum products, chemicals, perfumery and cosmetics, glass, minerals, ores and metals",Wholesale trade in manufactured products,46102,Decile 7,INE899O01018
Effingo Textile & Trading Ltd.,11-35398,1985,1.0104E+14,1,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes",Wholesale trade in textiles & apparels,46411,Decile 7,INE907N01029
Eicher Motors Ltd.,55-129877,1982,1.01015E+14,1,"Manufacture of motorcycles, scooters, mopeds etc. and their engine",Motorcycles,30911,Decile 1,INE066A01013
Eimco Elecon (India) Ltd.,Apr-74,1974,1.01014E+14,1,"Manufacture of boring, cutting, sinking and tunnelling machinery (whether or not for underground use)",Mining machinery,28242,Decile 3,INE158B01016
Elango Industries Ltd.,18-17042,1989,1.01042E+14,1,Repair of other personal and household goods n.e.c.,Repair services,95299,Decile 9,INE594D01018
Elantas Beck India Ltd.,60-134746,1956,1.01013E+14,1,"Manufacture of paints and varnishes, enamels or lacquers",Wire enamel,20221,Decile 3,INE280B01018
Eldeco Housing & Inds. Ltd.,20-99376,1985,1.0106E+14,1,Construction of buildings carried out on own-account basis or on a fee or contract basis,Housing real estate,41001,Decile 4,INE668G01013
Elecon Engineering Co. Ltd.,04-1082,1960,1.01014E+14,1,"Manufacture of bearings, gears, gearing and driving elements",Gears,28140,Decile 1,INE205B01023
Electrex (India) Ltd.,Aug-84,1982,1.01014E+14,1,"Manufacture of machine tools for turning, drilling, milling, shaping, planning, boring, grinding etc.",Machine tools,28221,Decile 7,INE167A01019
Electrosteel Castings Ltd.,15-310,1955,1.01014E+14,1,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel",Spun pipes,24311,Decile 1,INE086A01029
Electrosteel Steels Ltd.,27-12663,2006,1.01014E+14,1,Manufacture of hot-rolled and cold-rolled products of steel,Bars & rods,24105,Decile 1,INE481K01021
Electrotherm (India) Ltd.,Apr-26,1986,1.01014E+14,1,Manufacture of basic iron and steel,Ferrous metals & products,2410,Decile 1,INE822G01016
Elegant Floriculture & Agrotech (India) Ltd.,11-73872,1993,1.01011E+14,1,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds",Flowers (Floriculture),1193,Decile 7,INE152E01013
Elegant Marbles & Grani Inds. Ltd.,17-3134,1984,1.0102E+14,1,Quarrying of marble,Marble,8101,Decile 5,INE095B01010
Elgi Equipments Ltd.,61-351,1960,1.01014E+14,1,"Manufacture of other pumps, compressors, taps and valves etc.",Compressors,28132,Decile 2,INE285A01027
Elgi Rubber Co. Ltd.,61-13144,2006,1.01012E+14,1,Manufacture of rubber products,Rubber & rubber products,221,Decile 3,INE819L01012
Ellora Paper Mills Ltd.,11-19972,1977,1.01015E+14,1,"Manufacture of printing, writing and photocopying paper ready for use","Writing, printing paper",17093,Decile 7,INE384H01015
Elnet Technologies Ltd.,18-19459,1990,1.01041E+14,1,Construction of buildings carried out on own-account basis or on a fee or contract basis,Software park services,41001,Decile 5,INE033C01019
Elpro International Ltd.,11-12425,1962,1.0106E+14,1,Construction of buildings carried out on own-account basis or on a fee or contract basis,Real estate,41001,Decile 4,INE579B01039
Ema India Ltd.,20-3408,1971,1.01014E+14,1,"Manufacture of machine tools for turning, drilling, milling, shaping, planning, boring, grinding etc.",Machine tools,28221,Decile 9,INE279D01016
Emami Ltd.,21-36030,1983,1.01012E+14,1,Manufacture of 'ayurvedic' or 'unani' pharmaceutical preparation,Ayurvedic & unani medicaments,21003,Decile 1,INE548C01032
Emami Paper Mills Ltd.,21-34161,1981,1.01015E+14,1,Manufacture of paper and paper rolls not further processed,Paper,17013,Decile 1,INE830C01026
Emco Ltd.,11-13011,1964,1.01014E+14,1,"Manufacture of metal frameworks or skeletons for construction and parts thereof ((towers, masts, trusses, bridges etc.)","Heavy structurals (Bridges & bridge sect, towers, lattice masts, angles, shape",25112,Decile 1,INE078A01026
Emed.Com Technologies Ltd.,Jan-48,1989,1.0104E+14,1,Wholesale of software,Wholesale trade in readymade software products,46512,Decile 9,INE379F01019
Emerald Leisures Ltd.,Nov-91,1948,1.0104E+14,1,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats","Hotels, resorts & restaurants",55101,Decile 5,INE044N01013
Emgee Cables & Communications Ltd.,17-3918,1987,1.01014E+14,1,"Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)","Wires & cables, insulated",27320,Decile 4,INE128F01010
Emkay Taps & Cutting Tools Ltd.,11-91091,1995,1.01014E+14,1,"Manufacture of machine tools for turning, drilling, milling, shaping, planning, boring, grinding etc.",Machine tools,28221,Decile 5,INE332S01011
Emmbi Industries Ltd.,54-387,1994,1.01012E+14,1,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",Sacks & bags,22203,Decile 4,INE753K01015
Emmessar Biotech & Nutrition Ltd.,11-65942,1992,1.01042E+14,1,Other non-specialised wholesale trade n.e.c.,Services,46909,Decile 9,INE634B01016
Emmsons International Ltd.,55-53060,1993,1.0104E+14,1,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live animals, food, beverages, intoxicants and textiles",Wholesale trade in agricultural crops,46101,Decile 2,INE073C01015
Empee Distilleries Ltd.,18-10313,1983,1.01011E+14,1,"Manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, 'mixed drinks' etc.",Indian made foreign liquors,11011,Decile 2,INE180G01019
Empee Sugars & Chemicals Ltd.,Jan-91,1988,1.01016E+14,1,Diversified,Diversified,34,Decile 3,INE928B01012
Empire Industries Ltd.,11-176,1900,1.01042E+14,1,Other non-specialised wholesale trade n.e.c.,Services,46909,Decile 2,INE515H01014
Empower India Ltd.,11-23931,1981,1.0104E+14,1,Wholesale of software,Wholesale trade in readymade software products,46512,Decile 3,INE507F01023
Encash Entertainment Ltd.,21-124559,2008,1.01042E+14,1,Production of motion picture,Motion picture production,59111,Decile 8,INE552Q01018
Endurance Technologies Ltd.,11-123296,1999,1.01015E+14,1,Manufacture of parts and accessories for motor vehicles,Automobile ancillaries,2930,Decile 1,INE913H01037
Energy Development Co. Ltd.,08-17003,1995,1.0104E+14,1,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",Wholesale trade in electrical machinery other than electronics,46593,Decile 4,INE306C01019
Engineers India Ltd.,55-4352,1965,1.0106E+14,1,Construction of utility projects n.e.c.,Construction of other industrial plants,42209,Decile 1,INE510A01028
Enkei Wheels (India) Ltd.,60-133702,2009,1.01015E+14,1,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, steering wheels, steering columns and steering boxes etc.",Wheels/wheel rims,29301,Decile 3,INE130L01014
Ennore Coke Ltd.,18-70358,1985,1.0104E+14,1,"Wholesale of solid, liquid and gaseous fuels and related products","Wholesale trade in coal,lignite and peat",46610,Decile 4,INE755H01016
Ensa Steel Inds. Ltd.,11-35172,1985,1.0104E+14,1,Wholesale of metals and metal ores,Wholesale trade in finished steel (alloy & non-alloy),46620,Decile 7,INE322C01016
Enterprise International Ltd.,21-47832,1989,1.0104E+14,1,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes",Wholesale trade in silk & silk textiles,46411,Decile 6,INE439G01019
Entertainment Network (India) Ltd.,11-120516,1999,1.01042E+14,1,Radio broadcasting,Radio broadcasting media,60100,Decile 2,INE265F01028
Envair Electrodyne Ltd.,11-23810,1981,1.01042E+14,1,Other non-specialised wholesale trade n.e.c.,Services,46909,Decile 8,INE601C01013
Eon Electric Ltd.,05-35580,1989,1.01013E+14,1,Manufacture of electric lighting equipment,Fluorescent lamps,27400,Decile 4,INE076H01025
Epic Energy Ltd.,11-63103,1991,1.0104E+14,1,"Activities of commission agents dealing in wholesale trade in machinery & equipment, other than transport machinery",Wholesale trade in machinery,46103,Decile 7,INE932F01015
Eris Lifesciences Ltd.,04-49867,2007,1.01012E+14,1,Manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc.,"Pharmaceutical products, nec",21009,Decile 2,INE406M01024
Eros International Media Ltd.,11-80502,1994,1.01042E+14,1,Production of motion picture,"Motion picture production, distribution & exhibition",59111,Decile 1,INE416L01017
Esaar (India) Ltd.,11-222871,1951,1.0104E+14,1,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live animals, food, beverages, intoxicants and textiles",Wholesale trade in agricultural crops,46101,Decile 7,INE404L01039
Esab India Ltd.,18-58738,1987,1.01014E+14,1,Manufacture of other electrical equipment,Welding machinery,27900,Decile 2,INE284A01012
Escorts Ltd.,05-39088,1944,1.01014E+14,1,Manufacture of tractors used in agriculture and forestry,Tractors,28211,Decile 1,INE042A01014
Esha Media Research Ltd.,62-4472,1984,1.01042E+14,1,Market research and public opinion polling,Market research & public opinion polling,73200,Decile 7,INE328F01016
Eskay K'N'It (India) Ltd.,54-34,1987,1.01012E+14,1,Preparation and spinning of cotton fiber including blended* cotton,Cotton yarn,13111,Decile 4,INE220A01032
Ess Dee Aluminium Ltd.,21-170941,2004,1.01042E+14,1,Other non-specialised wholesale trade n.e.c.,Services,46909,Decile 2,INE825H01017
Essar Shipping Ltd.,04-60285,2010,1.01041E+14,1,Sea and coastal water transport,Shipping services,501,Decile 1,INE122M01019
Essel Propack Ltd.,11-28947,1982,1.01012E+14,1,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",Plastic packaging goods,22203,Decile 2,INE255A01020
Essem Catalyst Ltd.,11-17982,1974,1.01012E+14,1,"Manufacture  of  various  other  chemical  products  n.e.c.(antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing or drawing ink, chemical substance used in manufacturing of pesticides and other chemical products)",Nickel catalyst,20299,Decile 8,INE546301016
Esteem Bio Organic Food Processing Ltd.,55-71220,1995,1.01011E+14,1,Processing and preserving of fruit and vegetables,"Vegetable, fruit & nut products",1030,Decile 6,INE209O01028
Ester Industries Ltd.,25-15063,1985,1.01012E+14,1,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)",Polyester film,22201,Decile 2,INE778B01029
Euro Asia Exports Ltd.,55-12621,1981,1.0104E+14,1,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes",Wholesale trade in textiles & apparels,46411,Decile 9,INE535P01015
Euro Ceramics Ltd.,11-135548,2002,1.01013E+14,1,Manufacture of ceramic products n.e.c.,Ceramic tiles,23939,Decile 3,INE649H01011
Euro India Fresh Foods Ltd.,04-57789,2009,1.01011E+14,1,Manufacture of prepared meals and dishes,Instant & semi-processed foods (Packaged Foods),1075,Decile 5,INE546V01010
Euro Leder Fashion Ltd.,18-22134,1992,1.01013E+14,1,Manufacture of wearing apparel made of leather and substitutes of leather,Leather apparel & clothing accessories,14104,Decile 5,INE940E01011
Euro Multivision Ltd.,11-145995,2004,1.01014E+14,1,Manufacture of other electrical equipment,Solar modules,27900,Decile 5,INE063J01011
Eurotex Industries & Exports Ltd.,11-42598,1987,1.01012E+14,1,Finishing of cotton and blended cotton textiles.,Cotton textiles,13131,Decile 4,INE022C01012
Eveready Industries (India) Ltd.,21-7993,1934,1.01013E+14,1,"Manufacture of primary cells and primary batteries nd rechargable batteries, cells containing manganese oxide, mercuric oxide silver oxide or other material",Dry cells,27201,Decile 1,INE128A01029
Everest Industries Ltd.,Nov-93,1934,1.01013E+14,1,Manufacture of other cement and asbestos cement products n.e.c.,Fabricated asbestos fibres & friction materials,23959,Decile 1,INE295A01018
Everest Kanto Cylinder Ltd.,11-20434,1978,1.01014E+14,1,Manufacture of metal containers for compressed or liquefied gas,LPG cylinders & other gas containers,25121,Decile 2,INE184H01027
Everest Organics Ltd.,62-15426,1993,1.01012E+14,1,"Manufacture of pharmaceuticals, medicinal chemical and botanical products","Drugs, medicines & allied products",2100,Decile 5,INE334C01011
Everlon Synthetics Ltd.,11-52747,1989,1.01012E+14,1,"Manufacture of synthetic or artificial filament yarn,  tenacity yarn whether or not textured including high tenacity yarn",Textured yarn of synthetic filament yarn,20203,Decile 6,INE339D01034
Everonn Education Ltd.,18-58466,2000,1.01042E+14,1,Higher education in engineering / other technical courses leading to a university degree or equivalent,Professional courses,85302,Decile 2,INE678H01010
Excel Castronics Ltd.,04-18192,1992,1.0104E+14,1,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live animals, food, beverages, intoxicants and textiles",Wholesale trade in agricultural crops,46101,Decile 6,INE501O01036
Excel Crop Care Ltd.,11-12878,1964,1.01012E+14,1,Manufacture of pesticides and other agrochemical products,Pesticides,2021,Decile 2,INE223G01017
Excel Industries Ltd.,11-11807,1960,1.01012E+14,1,Manufacture of basic chemical elements,Phosphorous,20116,Decile 2,INE369A01029
Excel Realty N Infra Ltd.,11-138568,2003,1.0104E+14,1,Other non-specialised wholesale trade n.e.c.,Wholesale trade in miscellaneous manufactured articles,46909,Decile 5,INE688J01015
Exdon Trading Co. Ltd.,11-39616,1982,1.0104E+14,1,Wholesale of cereals & pulses,Wholesale trade in foodgrains,46201,Decile 7,INE204I01013
Exide Industries Ltd.,21-14919,1947,1.01015E+14,1,"Manufacture of primary cells and primary batteries nd rechargable batteries, cells containing manganese oxide, mercuric oxide silver oxide or other material",Storage batteries,27201,Decile 1,INE302A01020
Exotic Coal Ltd.,04-23538,1994,1.0104E+14,1,"Wholesale of industrial chemicals,",Wholesale trade in chemicals & chemical products,46691,Decile 8,INE898K01018
Expo Gas Containers Ltd.,11-27837,1982,1.01042E+14,1,Architectural and engineering activities and related technical consultancy,Technical consultancy & engineering services,71100,Decile 5,INE561D01025
F C S Software Solutions Ltd.,55-179154,1993,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 3,INE512B01022
F D C Ltd.,Nov-76,1940,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,Drug formulations,21002,Decile 1,INE258B01022
Facor Alloys Ltd.,01-43252,2004,1.01014E+14,1,Manufacture of ferro-alloys,Other ferro alloys,24104,Decile 4,INE828G01013
Facor Steels Ltd.,11-146283,2004,1.01014E+14,1,Manufacture of hot-rolled and cold-rolled products of steel,Flat products,24105,Decile 5,INE829G01011
Fairchem Speciality Ltd.,11-286828,1985,1.01012E+14,1,Manufacture of organic and inorganic chemical compounds n.e.c.,Fatty acids,20119,Decile 4,INE959A01019
Fairdeal Filaments Ltd.,04-13771,1990,1.01012E+14,1,Preparation and spinning of cotton fiber including blended* cotton,Cotton & blended yarn,13111,Decile 4,INE719D01011
Farmax India Ltd.,62-22190,1995,1.0102E+14,1,"Mining of vermiculite, perlite and chlorites","Vermiculite, perlite",8996,Decile 6,INE890I01035
Faze Three Ltd.,54-197,1985,1.01012E+14,1,Manufacture of carpets and other floor coverings made of cotton,Cotton durries,13931,Decile 3,INE963C01033
Fedders Electric & Engg. Ltd.,20-21118,1957,1.0106E+14,1,Construction of utility projects n.e.c.,Construction of other industrial plants,42209,Decile 1,INE249C01011
Federal-Mogul Goetze (India) Ltd.,55-2452,1954,1.01015E+14,1,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Pistons,2811,Decile 1,INE529A01010
Felix Industries Ltd.,04-72005,2012,1.0104E+14,1,"Wholesale of other machinery, equipment and supplies n.e.c. including computer-controlled machine tools and computer-controlled sewing and knitting machines",Wholesale trade in industrial machinery,46599,Decile 8,INE901X01013
Fenoplast Ltd.,62-1942,1975,1.01012E+14,1,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)","Other sheets, films & foils of plastics",22201,Decile 4,INE138D01014
Ferro Alloys Corpn. Ltd.,15-8400,1955,1.01014E+14,1,Manufacture of ferro-alloys,Ferro alloys,24104,Decile 2,INE912A01026
"Fertilisers & Chemicals, Travancore Ltd.",09-371,1943,1.01012E+14,1,"Manufacture of straight mixed, compound or complex inorganic fertilizers",NP mixed (20-20-0),20122,Decile 1,INE188A01015
Fervent Synergies Ltd.,11-193843,2009,1.0104E+14,1,Whole sale of other agriculture raw materials n.e.c.,Wholesale trade in food & agro-based products,46209,Decile 6,INE258M01011
Fiberweb (India) Ltd.,56-4694,1985,1.01012E+14,1,Weaving of textiles,Special woven fabrics,1312,Decile 5,INE296C01020
Fiem Industries Ltd.,55-34928,1989,1.01015E+14,1,Manufacture of electric lighting equipment,Other auto lights,27400,Decile 2,INE737H01014
Filatex Fashions Ltd.,62-17158,1994,1.01012E+14,1,Manufacture of knitted and crocheted cotton fabrics,Knitted fabrics,13911,Decile 5,INE185E01013
Filatex India Ltd.,54-91,1990,1.01012E+14,1,"Manufacture of synthetic or artificial filament yarn,  tenacity yarn whether or not textured including high tenacity yarn",Polyester filament yarn (PFY),20203,Decile 1,INE816B01027
Filmcity Media Ltd.,11-77927,1994,1.01042E+14,1,Production of television programmes or television commercials,Entertainment content provider,59113,Decile 8,INE600B01033
Filtra Consultants & Engineers Ltd.,11-217837,2011,1.0104E+14,1,Wholesale of other electronic equipments and parts thereof,Wholesale trade in other electronic products,46529,Decile 6,INE541R01019
Filtron Engineers Ltd.,60-26929,1982,1.01014E+14,1,Manufacture of machinery for the dairy industry,Dairy machinery,28251,Decile 8,INE589N01017
Fine Organic Inds. Ltd.,11-136003,2002,1.01012E+14,1,Manufacture of organic and inorganic chemical compounds n.e.c.,Organic chemicals,20119,Decile 2,INE686Y01026
Fine-Line Circuits Ltd.,11-131521,1989,1.01014E+14,1,"Manufacture of bare printed circuit boards, loading of components onto printed circuit boards; Manufacture of interface cards (e.g. sound, video, controllers, network, modems)",Printed circuit boards,26104,Decile 7,INE087E01011
Fineotex Chemical Ltd.,11-144295,2004,1.01012E+14,1,Manufacture of Chemicals and Chemical products,Chemicals & chemical products,20,Decile 5,INE045J01026
Finolex Cables Ltd.,11-16531,1967,1.01014E+14,1,"Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)",Cables & other conductors,27320,Decile 1,INE235A01022
Finolex Industries Ltd.,60-24153,1981,1.01012E+14,1,Manufacture of other plastics products n.e.c.,"Tubes, pipes & hoses & fittings of plastics",22209,Decile 1,INE183A01016
Firstobject Technologies Ltd.,11-239534,2000,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 6,INE683B01047
Firstsource Solutions Ltd.,11-134147,2001,1.01041E+14,1,Other information service activities n.e.c.,Information technology enabled service/BPO,63999,Decile 1,INE684F01012
Fischer Chemic Ltd.,11-288371,1993,1.0104E+14,1,"Wholesale of industrial chemicals,",Wholesale trade in chemicals & chemical products,46691,Decile 10,INE771F01025
Five Core Electronics Ltd.,55-148250,2002,1.01013E+14,1,Manufacture of consumer electronics,Consumer electronics,2640,Decile 5,INE574Z01013
Five X Tradecom Ltd.,11-201249,2010,1.0104E+14,1,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live animals, food, beverages, intoxicants and textiles",Wholesale trade in agricultural crops,46101,Decile 7,INE750L01019
Flex Foods Ltd.,25-23970,1990,1.01011E+14,1,Growing of mushrooms and truffles,Mushroom,1136,Decile 5,INE954B01018
Flexituff Ventures Intl. Ltd.,10-34616,1993,1.01012E+14,1,Manufacture of other textiles/textile products n.e.c.,Textile products for technical uses,13999,Decile 1,INE060J01017
Flora Corporation Ltd.,Jan-19,1988,1.01011E+14,1,Processing and preserving of fish crustacean and similar foods,Fish,10204,Decile 9,INE318U01016
Flora Textiles Ltd.,61-4290,1993,1.01012E+14,1,"Weaving, Manufacture of cotton and cotton mixture fabrics.",Cotton fabrics,13121,Decile 9,INE161F01011
Fluidomat Ltd.,10-1452,1978,1.01014E+14,1,Manufacture of other fabricated metal products n.e.c.,Articles of iron & steel,25999,Decile 6,INE459C01016
Focus Lighting & Fixtures Ltd.,11-155278,2005,1.0104E+14,1,Wholesale of other electronic equipments and parts thereof,Wholesale trade in electronic components and part thereof,46529,Decile 5,INE593W01010
Focus Suites Solutions & Services Ltd.,08-39993,2006,1.01042E+14,1,Market research and public opinion polling,Market research & public opinion polling,73200,Decile 8,INE180Z01019
Fomento Resorts & Hotels Ltd.,24-113,1971,1.0104E+14,1,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats","Hotels, resorts & restaurants",55101,Decile 4,INE241E01014
Foods & Inns Ltd.,11-13837,1967,1.01011E+14,1,"Manufacture of fruit or vegetable juices and their concentrates, squashes and powder",Fruit pulps,10304,Decile 3,INE976E01023
Forbes & Co. Ltd.,11-628,1919,1.01014E+14,1,Manufacture of metal-forming machinery and machine tools n.e.c,Threading or tapping machines,28229,Decile 2,INE518A01013
Force Motors Ltd.,60-11172,1958,1.01015E+14,1,"Manufacture of commercial vehicles such as vans, lorries, over-the-road tractors for semi-trailers etc.",Light commercial vehicles,29102,Decile 1,INE451A01017
Fortis Healthcare Ltd.,16-45933,1996,1.01042E+14,1,Hospital activities,Medical & health services,86100,Decile 1,INE061F01013
Fortis Malar Hospitals Ltd.,16-45948,1989,1.01042E+14,1,Hospital activities,"Hospitals, health care centres, etc.",86100,Decile 4,INE842B01015
Fortune Foods Ltd.,11-186682,1989,1.01042E+14,1,Other non-specialised wholesale trade n.e.c.,Services,46909,Decile 7,INE086501017
Fortune International Ltd.,55-12033,1981,1.01042E+14,1,"Activities of commission agents dealing in wholesale trade in machinery & equipment, other than transport machinery",Commission agents services,46103,Decile 9,INE501D01013
Foseco India Ltd.,60-11052,1958,1.01012E+14,1,"Manufacture  of  various  other  chemical  products  n.e.c.(antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing or drawing ink, chemical substance used in manufacturing of pesticides and other chemical products)",Miscellaneous chemicals,20299,Decile 3,INE519A01011
Foundry Fuel Products Ltd.,21-26053,1964,1.01013E+14,1,"Manufacture of refractory bricks, blocks tiles and similar refractory ceramic constructional goods",Fire clay bricks,23912,Decile 10,INE617C01027
Fourth Dimension Solutions Ltd.,55-221111,2011,1.0104E+14,1,Wholesale of computers and computer peripheral equipment,Wholesale trade in computer systems and peripherals,46511,Decile 2,INE382T01014
Fourth Generation Information Systems Ltd.,01-29999,1998,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 10,INE739B01039
Franklin Industries Ltd.,04-92054,1983,1.0104E+14,1,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live animals, food, beverages, intoxicants and textiles",Wholesale trade in agricultural crops,46101,Decile 9,INE789R01014
Fraser & Co. Ltd.,11-272418,1917,1.0104E+14,1,Wholesale of precious stones,Wholesale trade in diamonds,46697,Decile 9,INE184Q01010
Fredun Pharmaceuticals Ltd.,11-43662,1987,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,Drug formulations,21002,Decile 6,INE194R01017
Freshtrop Fruits Ltd.,04-18365,1992,1.01011E+14,1,Growing of grapes,Grapes,1210,Decile 4,INE795D01011
Frontier Informatics Ltd.,62-6644,1986,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 10,INE547B01028
Frontier Springs Ltd.,20-5212,1981,1.01015E+14,1,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, steering wheels, steering columns and steering boxes etc.",Leaf springs (Automotive),29301,Decile 5,INE572D01014
Frontline Corporation Ltd.,21-99645,1989,1.0104E+14,1,Sale of motor vehicle parts and accessories,Wholesale trade in automobile ancillaries,45300,Decile 5,INE092D01013
Frontline Financial Services Ltd.,04-16289,1991,1.0104E+14,1,Other non-specialised wholesale trade n.e.c.,Wholesale trade in miscellaneous manufactured articles,46909,Decile 8,INE776R01011
Funny Software Ltd.,55-165836,2007,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 7,INE105R01013
Futura Polyesters Ltd.,11-11579,1960,1.01012E+14,1,Manufacture of synthetic or artificial filament staple fibre not textured,Polyester staple fibre (PSF),20302,Decile 2,INE564A01017
Future Consumer Ltd.,11-192090,1996,1.0104E+14,1,Other non-specialised wholesale trade n.e.c.,Wholesale trade in miscellaneous manufactured articles,46909,Decile 1,INE220J01025
Future Enterprises Ltd.,11-44954,1987,1.0104E+14,1,Retail sale in non-specialized stores,Retail trade,471,Decile 1,INE623B01027
Future Lifestyle Fashions Ltd.,11-231654,2012,1.0104E+14,1,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.",Retail trade in apparels (readymade garments),47711,Decile 1,INE452O01016
Future Market Networks Ltd.,11-179914,2008,1.01042E+14,1,Rental and leasing activities,Renting services,77,Decile 2,INE360L01017
Future Retail Ltd.,11-268269,2007,1.0104E+14,1,Retail sale in non-specialized stores,Retail trade,471,Decile 1,INE752P01024
Future Supply Chain Solutions Ltd.,11-160376,2006,1.01041E+14,1,Other land transport services n.e.c,Transport & allied services,52219,Decile 2,INE935Q01015
Futuristic Offshore Services & Chemical Ltd.,11-47243,1988,1.01012E+14,1,Manufacture of organic and inorganic chemical compounds n.e.c.,Organic chemicals,20119,Decile 7,INE418A01016
G A I L (India) Ltd.,55-18976,1984,1.0104E+14,1,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade zones]",NG storage & distribution,52109,Decile 1,INE129A01019
G B L Industries Ltd.,Apr-85,1985,1.0104E+14,1,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes",Wholesale trade in apparels (readymade garments),46411,Decile 9,INE003Q01012
G C C L Infrastructure & Projects Ltd.,04-23416,1994,1.0106E+14,1,Other civil engineering projects n.e.c.,Construction,42909,Decile 8,INE438F01013
